ath-gar		0.0574578353199809		0.000515406872376537		0.837960032083207		3.36605806183069e-06		0.0474133441185735		0.158045127890877		

ath-pvu		0.000960919637852602		0.0412826857701128		0.219246817434705		3.19929821476685e-05		0.00151035134315576		0.0347501739840459		

ath-sly		0.00481394038535083		0.289842026374941		0.68525824142601		0.00787385782984124		0.126562008124174		0.55192985518627		

ath-sbi		0.0350500564483816		0.201565924013005		0.188802531151954		0.00886982405623906		0.00539184996803377		0.0620432276638873		

ath-ata		0.0460539263562314		0.00875064170216377		0.661497128319677		0.00036720591792498		0.215526481255563		0.331965487856886		

ath-osa		0.0177712630682251		0.0379114900013918		0.582759863744148		0.000536239071103952		0.0159892361327937		0.136796000179122		

gar-pvu		0.0136360526999179		0.0228414250529886		0.602487401444161		0.000344342834681691		0.00925759078204408		0.0970051033323388		

sly-gar		0.12493896361659		0.00594264040609734		0.680800531868813		0.000326349022825588		0.0553434175277822		0.133868188171652		

sbi-gar		0.529932425951726		0.0263780775787541		0.74017776005146		0.0198766477117483		0.184688288600829		0.185244207225825		

gar-ata		0.0392905754138028		0.0855817194634678		0.420653752048184		0.00187956532515898		0.0579368978233784		0.181141003202297		

osa-gar		0.0108089940309254		0.11926695699527		0.640429621053735		0.00252094541100501		0.0633973628001877		0.330323013469008		

sly-pvu		0.00161033951328449		0.192766850121022		0.970352931939646		0.00125036545785919		0.397907884764249		0.920350966910227		

sbi-pvu		6.17636359555665e-05		0.617075577235365		0.206424537846821		0.000270761989420824		0.00154204236411479		0.27207447129619		

pvu-ata		0.000292642769183869		0.296476487586838		0.10668979897415		0.00179774946477464		0.00173378897879952		0.0476985691309675		

osa-pvu		0.000180982755765472		0.439404568627099		0.46426554746562		0.00151397643249668		0.0255994555938542		0.422374766068259		

sly-sbi		0.0217186379528981		0.413015744045542		0.459735573168455		0.0400559263759066		0.117566163032579		0.400114463630075		

sly-ata		0.00498842240786137		0.386938858570983		0.397834762213232		0.0334773758296603		0.0927636809473472		0.324228740941778		

sly-osa		0.00105340948605089		0.62322828558876		0.424638273539324		0.0335760001454881		0.0881499373099572		0.499765097259956		

sbi-ata		0.387847808698532		0.614783939889239		0.0586667562677632		0.545857039013161		0.0423967300923997		0.0613137344838101		

sbi-osa		0.780923973618662		0.0590847607517056		0.146783948206476		0.129284639154878		0.0210581874555399		0.00977446414938651		

osa-ata		0.134284343343902		0.195395924531363		0.262326105173697		0.0569182420252573		0.0240315871055955		0.0785758408438117		

