ath-gar		1diver		1.81901391231499e-08		6.01335014427203e-07		0.243677642160699		1.57993542837679e-23		1.51747820590202e-06		0.0560394233821873		

ath-gar		2ka/ks		0.00316117439579667		0.00567584881238617		0.352107417007168		8.70922767003205e-07		0.001482344355511		0.0283997901684883		

ath-pvu		1diver		1.86209173949098e-07		9.27199931982055e-06		0.0925876324130032		4.04369126980191e-18		0.0012321401889618		0.370487577460994		

ath-pvu		2ka/ks		6.95015782493373e-05		0.180227015276259		0.00277243942359464		5.26527763619617e-05		1.28340037847397e-05		0.000637756576385827		

ath-sly		1diver		3.07814243953578e-10		0.0149835366848668		0.462351774748587		4.35937966198703e-11		0.000813504465846098		0.49206439855216		

ath-sly		2ka/ks		8.39746541237578e-07		0.0812390063226427		0.00130868300961519		5.78037915173399e-07		2.08095199979922e-06		0.000171400430001802		

ath-sbi		1diver		4.25462789547616e-07		2.96220077514986e-06		0.93503378579232		2.60147057185628e-18		4.05851744303891e-10		0.000401477190904884		

ath-sbi		2ka/ks		0.000225361211659904		0.000323239412284148		0.00576539296953063		4.29309097224734e-08		1.58545734766535e-08		1.31071019229027e-06		

ath-ata		1diver		9.90806167547346e-08		0.0533549748453701		0.070223602225079		4.19975750359019e-08		0.677381112020699		0.395598061642997		

ath-ata		2ka/ks		0.0156850750709413		0.0203854878692917		0.627150731255055		0.000361017697754792		0.0599883029379403		0.191167316547258		

ath-osa		1diver		1.07425409313016e-12		1.50117071307973e-07		0.576988256583219		2.61822917829511e-29		4.04968461049032e-10		0.00747615550810989		

ath-osa		2ka/ks		0.00207686733812253		0.000124332172815158		0.25478775083828		3.37706532040463e-09		0.000108974979331295		0.00327270094498284		

gar-pvu		1diver		3.01913501629935e-07		0.0197266599956891		0.990567991188384		1.11684489113463e-09		6.01702594399713e-05		0.137024386922512		

gar-pvu		2ka/ks		0.0011796088916821		0.748536042829897		0.000558474056411362		0.0408043031517559		2.61088991863377e-05		0.0012066482907157		

sly-gar		1diver		7.06881943215845e-09		0.0462854303078218		0.275531949689276		1.52771511293796e-09		0.0255855988671241		0.99999999999999		

sly-gar		2ka/ks		0.00102623911322792		0.0321983984098031		0.587788568233378		8.97903703146456e-05		0.0122183391553551		0.148518069210994		

sbi-gar		1diver		2.31977175149829e-05		2.61112893451499e-07		0.597938694861763		1.56255723091873e-19		6.17091596232625e-06		0.0137492385210249		

sbi-gar		2ka/ks		0.000271871887243172		0.0045624113594339		0.00932674649593864		7.55074520470785e-08		1.04387849737599e-05		0.000256502208593612		

gar-ata		1diver		0.000166334259590907		0.00127018987838355		0.629954570653652		3.54932581484374e-10		0.00428870484620098		0.221464116773315		

gar-ata		2ka/ks		0.00348276709902442		0.0229996510120124		0.327763330365252		3.95696473059929e-07		0.00658655893468178		0.0731922506796553		

osa-gar		1diver		8.45207616697034e-08		1.83077645004351e-05		0.999999999999997		2.34875095433423e-18		4.04645785073027e-09		0.00255199186239712		

osa-gar		2ka/ks		0.00905886391441398		0.107232581168897		0.786664430581707		0.0805717159766833		4.26633703116325e-05		0.00149864057596376		

sly-pvu		1diver		0.000389768983256018		0.0031040730659646		0.19606988350683		1.82858385281462e-08		0.0834532194133537		0.766986643176726		

sly-pvu		2ka/ks		1.03996853109248e-07		0.0628887376060789		0.0390345986517347		3.48841695372935e-06		7.47398088651363e-05		0.00466986837008507		

sbi-pvu		1diver		0.000134117209071084		3.88463498376879e-10		0.216729506238208		4.40351451931405e-23		7.39111848119647e-06		0.00947793100534826		

sbi-pvu		2ka/ks		8.23450453621116e-07		3.76234560416991e-05		0.155548166332447		1.51740062036999e-12		1.21733996523014e-05		0.00121062487682224		

pvu-ata		1diver		1.44689015467352e-08		0.00821833836773976		0.415054724108331		1.0606809880668e-10		0.00579453031161844		0.576940416076646		

pvu-ata		2ka/ks		0.000119642985570147		0.00512923007819939		0.332730421385737		3.53728152817576e-06		0.00160068356084605		0.023527070454829		

osa-pvu		1diver		3.98781024455568e-12		0.00162113362987279		0.910851922316702		2.35910847665356e-16		7.30158470970989e-09		0.0156280768335273		

osa-pvu		2ka/ks		6.5084503333673e-08		0.00660665760940028		0.17654773261261		4.49982760329219e-09		9.84973979247609e-06		0.00545940467570121		

sly-sbi		1diver		1.9910413848752e-05		0.0267044634104636		0.8569399569577		4.85000742057992e-07		0.00802995216305675		0.317172318938505		

sly-sbi		2ka/ks		3.89120187785155e-10		0.00136113059091035		0.123954368714496		2.91544847306978e-09		7.67910481868202e-06		0.00134942595075514		

sly-ata		1diver		0.000771856242386227		0.000267477257742809		0.151598864715715		4.74281312767458e-10		0.114500506605494		0.716610164350252		

sly-ata		2ka/ks		3.23934055223564e-06		0.105116065755984		0.050464520750172		3.06084880939204e-06		0.000897850710454885		0.0156231421324494		

sly-osa		1diver		4.54037009915096e-10		0.00423807196809085		0.999999999999999		6.49620349604284e-13		7.38048789424132e-06		0.0722694951887702		

sly-osa		2ka/ks		1.05052744330404e-07		0.00730108998669501		0.208393160755322		8.03376414040854e-08		6.96786265177217e-06		0.00383551932910128		

sbi-ata		1diver		4.92338596470925e-09		9.97110305042986e-06		0.909644062952677		3.74064594849732e-18		4.08458991947961e-10		0.00167087553742361		

sbi-ata		2ka/ks		0.50834236239653		0.00773048928776382		0.429987646963953		0.00547023452863117		0.0237825953587707		0.0263408024478447		

sbi-osa		1diver		4.87466909123803e-10		7.8939238189071e-05		0.919692893962102		1.20357522113849e-16		6.33237379177832e-09		0.00634436313693217		

